RecordID,CollectionDate,ConfirmedMalariaCases,SuspectedMalariaCasesTested,MalariaTestPositivityRate,MalariaIncidenceRate,SevereMalariaCases,MalariaDeaths,OutpatientMalariaVisits,InpatientMalariaAdmissions,ChildMalariaCases,MalariaInPregnancy,ITNOwnershipPercent,ITNUsagePercent,IRSCoveragePercent,Temperature,Precipitation,NDVI,Elevation,UrbanPopulationPercent,Under5PopulationPercent,GDPPerCapita,ImprovedWaterAccessPercent
2569,2022-10-07,7,8,0.18,391.77,1,0,8,2,3,0,95.5,72.2,66.4,29.2,43.5,0.16,1127.2,64.3,15.3,515.19,55.2
2570,2023-07-13,6,17,0.69,391.77,3,0,8,4,5,1,79.7,52.2,34.8,25.7,1.9,0.64,1636.0,62.1,19.1,477.82,86.0
2571,2021-04-20,3,9,0.72,391.77,2,0,6,3,2,3,52.7,32.1,24.1,27.4,161.8,0.26,705.6,61.3,13.8,479.74,72.7
2572,2023-01-06,2,7,0.57,391.77,2,0,7,3,2,2,66.2,64.0,36.6,27.5,82.2,0.29,1485.6,59.9,17.2,512.21,58.0
2573,2021-01-20,5,12,0.43,391.77,1,0,10,3,2,1,67.3,71.2,72.7,27.0,22.7,0.55,1363.3,43.7,13.4,391.48,69.3
2574,2023-09-20,6,9,0.59,391.77,0,0,3,2,2,2,70.9,32.9,59.9,29.6,7.3,0.58,1299.5,43.0,17.0,732.16,59.6
2575,2021-10-07,6,12,0.82,391.77,3,0,10,2,1,3,90.4,53.6,59.2,26.5,65.6,0.6,481.8,52.6,19.7,623.82,57.5
2576,2022-02-04,4,7,0.39,391.77,1,0,8,0,2,1,71.1,67.3,52.5,22.7,30.9,0.22,2.0,66.9,14.0,484.51,68.4
2577,2023-02-26,1,9,0.37,391.77,3,0,9,1,6,0,90.8,38.4,77.2,24.1,100.8,0.79,860.4,38.3,12.4,568.83,51.9
2578,2023-11-02,6,10,0.6,391.77,2,0,7,2,5,0,86.1,88.6,49.2,31.9,60.3,0.71,265.6,54.2,19.7,466.91,76.7
2579,2023-10-11,8,8,0.65,391.77,1,0,6,3,5,0,68.8,73.6,27.2,22.6,28.9,0.59,313.2,38.4,13.2,296.38,43.9
2580,2023-04-18,2,5,0.47,391.77,2,0,8,1,3,0,91.9,89.0,38.2,27.9,4.3,0.2,627.2,49.8,15.4,442.81,50.7
2581,2023-10-05,2,10,0.79,391.77,1,0,10,2,4,0,88.2,81.5,61.4,22.2,141.6,0.74,740.3,27.5,15.9,517.4,70.5
2582,2023-05-02,2,9,0.38,391.77,0,0,7,1,4,0,82.8,72.1,41.8,27.7,57.1,0.27,743.4,58.1,19.3,397.88,88.6
2583,2023-06-29,5,3,0.61,391.77,3,0,10,3,3,0,75.5,42.1,59.9,31.0,23.1,0.8,872.7,27.2,18.5,628.79,80.5
2584,2023-09-28,7,8,0.63,391.77,0,0,4,2,3,0,66.8,56.1,20.7,25.4,40.7,0.15,1645.2,19.6,16.8,366.6,41.3
2585,2021-12-09,7,2,0.34,391.77,0,0,9,3,3,0,82.4,87.2,63.5,30.0,72.6,0.35,1936.8,27.9,15.2,691.92,69.7
2586,2021-06-19,9,15,0.12,391.77,2,0,8,3,3,3,55.5,80.8,75.7,29.2,3.0,0.16,1342.4,58.0,14.4,514.02,74.1
2587,2021-03-05,4,18,0.76,391.77,1,0,11,1,4,0,53.5,69.2,23.4,24.8,8.6,0.49,147.8,37.8,12.3,463.82,53.1
2588,2022-03-28,7,14,0.49,391.77,1,0,7,3,2,2,79.4,57.6,28.0,30.4,48.9,0.47,1859.0,49.5,17.7,722.78,84.4
2589,2022-08-22,5,11,0.18,391.77,0,0,7,1,1,0,90.1,56.2,31.1,27.4,136.6,0.17,1951.2,67.9,12.1,574.6,50.2
2590,2021-03-08,7,10,0.87,391.77,1,0,7,2,3,2,86.9,55.6,63.8,29.7,45.8,0.58,955.8,48.4,17.3,509.29,60.4
2591,2022-07-17,7,10,0.34,391.77,0,0,4,2,4,0,85.7,41.4,76.3,26.3,3.0,0.75,696.9,50.9,11.0,448.37,73.5
2592,2022-04-06,3,9,0.48,391.77,1,0,6,0,3,2,64.8,57.3,32.7,27.8,28.1,0.38,1464.4,59.0,19.4,393.11,51.0
2593,2022-08-15,5,9,0.49,391.77,3,0,11,1,2,4,72.1,31.5,47.8,28.1,39.1,0.53,1398.8,50.4,13.3,376.13,54.1
2594,2021-12-11,5,13,0.4,391.77,3,0,6,2,4,0,98.6,65.0,26.9,24.2,20.1,0.57,899.6,10.9,11.7,615.71,46.1
2595,2023-07-26,5,9,0.22,391.77,0,0,7,1,3,0,84.8,80.1,64.6,29.7,32.1,0.69,240.1,28.0,11.6,564.55,86.7
2596,2023-10-12,5,14,0.66,391.77,0,0,10,1,3,0,86.6,78.7,73.1,32.7,57.5,0.62,639.1,54.0,17.5,480.25,78.3
2597,2023-11-13,8,12,0.26,391.77,0,0,6,1,3,0,98.1,69.6,30.6,28.4,10.9,0.46,1897.7,10.6,18.5,361.3,58.9
2598,2021-08-20,2,13,0.65,391.77,1,0,9,2,2,3,51.5,87.8,79.3,31.0,44.7,0.69,1653.9,42.7,12.1,418.91,57.4
2599,2021-08-22,6,12,0.74,391.77,1,0,14,4,5,0,84.2,41.0,54.1,26.6,126.4,0.5,1325.5,69.1,12.1,461.15,50.1
2600,2022-07-03,6,11,0.12,391.77,1,0,10,2,5,2,82.6,45.0,23.0,20.6,33.2,0.69,1988.2,64.7,16.1,531.07,41.8
2601,2023-01-22,6,5,0.69,391.77,1,0,11,4,1,1,90.2,30.1,77.8,24.7,30.8,0.34,640.3,67.2,15.8,472.78,77.3
2602,2021-03-27,1,8,0.61,391.77,1,0,9,3,5,1,62.1,38.7,54.6,29.2,138.6,0.63,536.9,60.4,17.8,267.95,63.4
2603,2023-06-23,10,17,0.26,391.77,2,0,9,3,2,2,75.1,55.3,62.7,28.4,55.2,0.36,1111.8,51.7,14.7,509.88,82.6
2604,2022-03-24,5,12,0.6,391.77,0,0,3,0,2,0,78.8,52.5,67.6,25.0,55.7,0.79,1426.7,15.9,14.5,542.63,71.6
2605,2023-05-21,3,14,0.44,391.77,1,0,1,1,3,1,77.6,39.6,75.0,29.4,17.0,0.61,592.4,23.0,12.6,571.35,67.2
2606,2021-07-29,0,7,0.17,391.77,0,0,14,2,4,2,69.3,40.0,72.7,25.7,35.6,0.24,1414.3,59.3,12.9,441.56,67.3
2607,2022-05-22,7,12,0.52,391.77,0,0,9,2,0,0,54.0,85.0,52.2,21.9,30.1,0.7,1845.1,23.0,18.9,421.85,54.9
2608,2022-09-02,4,11,0.88,391.77,0,0,6,1,2,2,58.9,89.4,31.7,24.3,8.5,0.79,339.6,32.6,17.0,556.17,77.4
2609,2021-03-08,6,9,0.62,391.77,0,0,7,2,1,0,74.3,89.8,50.7,28.5,127.4,0.73,828.0,29.8,18.5,453.51,64.5
2610,2023-07-11,4,10,0.36,391.77,0,0,8,1,4,0,96.9,77.1,45.2,31.5,78.1,0.53,982.3,34.2,18.6,441.31,62.6
2611,2022-06-23,2,7,0.55,391.77,2,0,6,3,1,0,60.3,88.2,51.8,22.4,2.0,0.73,1202.3,65.8,18.0,422.29,54.7
2612,2022-12-15,4,10,0.69,391.77,0,0,5,3,0,0,84.0,47.4,67.1,29.0,25.4,0.78,1081.4,19.3,14.7,482.95,54.4
2613,2021-06-28,9,9,0.22,391.77,1,0,6,2,7,1,74.9,76.4,61.3,22.3,9.0,0.47,1828.5,44.6,15.9,602.02,67.8
2614,2023-06-19,4,8,0.52,391.77,0,0,8,2,1,0,63.8,59.9,46.1,29.6,38.2,0.45,560.0,22.7,19.7,636.64,58.3
2615,2021-08-29,5,14,0.51,391.77,0,0,4,2,2,0,76.1,76.5,77.4,24.4,38.0,0.63,738.7,50.7,13.4,503.55,78.8
2616,2022-05-01,8,13,0.4,391.77,2,0,11,2,2,1,99.3,47.5,47.7,29.6,11.2,0.78,773.0,67.8,12.8,482.69,47.9
2617,2022-03-06,2,11,0.7,391.77,0,0,5,3,2,0,65.8,50.8,28.9,22.7,84.8,0.41,1877.1,27.9,19.2,403.15,84.6
2618,2022-12-20,2,5,0.55,391.77,0,0,12,1,2,0,74.4,88.5,40.2,27.2,12.1,0.73,1853.0,18.5,16.6,699.44,64.6
2619,2023-05-27,5,4,0.66,391.77,2,0,8,0,9,2,92.4,63.3,39.0,24.5,91.5,0.11,585.5,17.0,18.8,500.09,76.9
2620,2021-12-06,4,12,0.58,391.77,1,0,7,0,6,2,57.1,71.1,29.3,29.3,1.4,0.46,984.6,19.1,18.5,613.27,67.4
2621,2021-10-13,8,8,0.72,391.77,0,1,8,3,2,3,60.8,71.0,34.7,26.7,153.1,0.73,1790.7,53.6,17.0,625.0,83.2
2622,2022-02-28,6,10,0.61,391.77,4,0,5,1,3,0,77.9,42.4,47.7,26.2,7.8,0.7,1540.3,57.0,17.5,381.06,73.1
2623,2022-02-28,9,10,0.64,391.77,1,0,9,1,3,1,85.3,65.7,41.4,24.8,32.6,0.71,1853.4,14.8,11.4,559.13,74.8
2624,2021-05-02,7,13,0.28,391.77,2,0,6,2,3,0,86.1,47.8,58.5,23.2,4.8,0.54,1249.7,23.0,12.3,493.78,67.8
2625,2022-12-20,2,12,0.78,391.77,3,0,9,0,5,0,85.5,41.3,59.0,31.2,173.0,0.25,735.0,55.5,14.2,517.33,59.5
2626,2023-12-27,8,7,0.22,391.77,2,0,8,3,1,1,72.5,61.8,36.1,27.1,34.6,0.52,1440.9,12.5,14.5,358.76,41.2
2627,2022-07-30,3,9,0.37,391.77,1,0,12,1,5,0,93.9,69.7,27.1,29.9,113.8,0.38,1371.3,25.0,13.2,495.77,54.5
2628,2021-12-11,5,7,0.81,391.77,0,0,9,1,2,0,66.6,33.8,48.4,26.0,59.1,0.59,1738.1,65.2,20.0,494.22,68.2
2629,2022-10-25,4,7,0.19,391.77,0,0,7,3,4,1,50.1,45.5,63.8,25.6,8.2,0.52,672.5,31.1,16.9,368.95,79.2
2630,2022-08-23,5,14,0.79,391.77,0,0,11,5,4,1,93.6,79.1,44.0,26.6,13.3,0.28,77.7,11.6,18.9,649.97,42.6
2631,2022-08-16,4,8,0.48,391.77,0,0,10,3,2,1,66.6,67.6,44.3,28.9,116.2,0.66,7.1,30.8,16.3,557.02,48.7
2632,2022-07-02,8,9,0.25,391.77,0,0,4,4,1,0,64.8,37.8,70.6,21.3,14.6,0.47,917.0,51.3,12.2,462.9,47.2
2633,2023-11-20,0,14,0.69,391.77,1,0,4,4,1,0,90.6,68.8,57.6,29.9,5.7,0.57,110.0,18.2,19.2,540.26,41.3
2634,2021-07-15,7,8,0.33,391.77,2,0,6,2,1,1,72.5,34.2,42.9,29.0,31.3,0.32,1136.0,40.7,10.7,410.19,63.1
2635,2021-10-05,4,12,0.64,391.77,2,0,10,1,1,0,94.8,73.6,34.1,27.0,150.1,0.44,779.1,39.6,18.8,519.66,68.3
2636,2023-04-23,5,4,0.73,391.77,1,0,13,3,3,2,82.1,53.0,74.0,32.3,18.9,0.38,1893.1,61.8,14.5,397.92,90.0
2637,2021-05-02,2,12,0.56,391.77,1,0,9,2,4,1,86.4,34.6,62.3,29.5,218.0,0.78,797.4,43.6,16.9,511.1,61.2
2638,2022-07-22,3,17,0.73,391.77,4,0,8,2,2,0,50.6,41.1,54.8,28.2,10.6,0.26,1078.0,52.2,13.0,714.6,63.1
2639,2021-09-17,3,12,0.85,391.77,1,0,10,2,4,2,96.1,68.1,62.8,29.9,26.4,0.53,1334.0,45.3,18.7,526.46,87.4
2640,2021-09-29,1,9,0.54,391.77,0,0,8,1,1,1,65.0,57.5,70.5,25.9,14.0,0.44,820.6,60.0,15.2,460.24,48.6
2641,2022-05-27,3,14,0.22,391.77,4,0,9,1,3,1,95.0,61.0,62.4,22.1,128.9,0.78,1694.0,18.3,16.0,420.64,54.4
2642,2021-10-27,4,13,0.67,391.77,1,0,10,2,5,0,94.5,73.4,70.6,30.4,17.6,0.42,1790.5,47.3,15.8,368.2,42.1
2643,2022-10-22,4,10,0.43,391.77,2,0,9,3,2,0,69.8,34.1,44.5,29.2,40.0,0.52,1564.4,25.5,18.9,386.04,85.1
2644,2022-05-22,7,11,0.53,391.77,0,0,5,1,4,1,88.1,66.0,50.9,28.8,9.3,0.42,1233.5,57.7,12.0,185.12,46.4
2645,2023-03-16,9,6,0.6,391.77,1,0,10,4,2,3,99.6,61.4,42.9,23.8,52.5,0.22,1500.4,57.6,16.1,518.57,86.0
2646,2023-09-30,1,10,0.67,391.77,3,0,9,4,3,0,80.8,47.3,31.7,28.3,39.9,0.39,1932.6,65.9,13.8,568.81,64.4
2647,2021-10-19,3,10,0.61,391.77,0,0,9,0,4,4,53.2,37.4,67.0,24.9,12.9,0.34,1611.7,16.7,16.8,271.67,85.1
2648,2022-07-05,5,10,0.29,391.77,1,0,6,2,2,1,58.6,33.9,37.6,30.4,119.3,0.17,309.8,65.3,13.8,465.27,84.4
2649,2023-04-29,1,16,0.7,391.77,0,0,11,1,5,1,71.7,48.7,53.9,24.9,2.7,0.16,359.0,51.3,18.7,564.59,73.0
2650,2023-02-08,3,5,0.75,391.77,0,0,8,1,3,1,88.1,63.6,42.0,27.6,18.5,0.8,760.8,47.1,16.0,558.47,54.2
2651,2023-07-15,5,6,0.13,391.77,0,0,10,2,1,1,56.7,74.4,30.5,30.6,9.2,0.33,818.4,60.9,19.7,431.58,74.4
2652,2021-06-04,7,14,0.35,391.77,0,0,7,3,3,1,63.9,39.4,79.3,24.6,6.3,0.64,1010.2,52.4,19.7,672.32,79.7
2653,2021-07-10,4,11,0.88,391.77,0,0,7,2,2,2,51.0,88.8,79.6,28.8,20.9,0.11,104.4,17.2,11.3,592.14,70.4
2654,2023-04-06,6,7,0.24,391.77,1,0,5,1,4,1,73.2,41.2,51.1,25.0,136.1,0.54,528.8,17.5,16.7,422.15,84.1
2655,2023-11-22,4,11,0.25,391.77,1,0,7,1,2,0,60.0,69.7,30.6,25.1,1.3,0.47,1853.6,16.1,17.8,581.55,65.0
2656,2022-07-24,3,13,0.57,391.77,0,0,9,1,2,2,74.3,43.3,78.6,31.3,71.2,0.67,1962.0,20.4,14.4,526.22,47.9
2657,2023-01-26,5,9,0.37,391.77,0,0,11,0,0,1,99.5,50.9,66.1,27.9,14.7,0.36,1612.8,44.1,11.3,512.04,52.8
2658,2023-07-21,4,8,0.63,391.77,2,0,11,2,4,0,65.8,38.3,37.1,22.6,0.2,0.61,1927.4,69.6,18.0,479.13,46.1
2659,2023-09-27,4,12,0.31,391.77,2,0,10,2,4,1,85.3,53.3,29.5,22.9,86.3,0.73,1750.1,50.3,19.8,621.28,40.6
2660,2022-11-02,4,9,0.44,391.77,0,0,4,2,5,1,97.1,54.7,20.9,26.7,79.2,0.63,1036.2,65.5,16.3,538.69,85.8
2661,2021-01-06,5,8,0.9,391.77,0,0,11,4,3,1,82.0,46.6,71.4,25.2,11.8,0.57,1337.9,51.4,10.7,535.52,69.7
2662,2021-07-10,4,11,0.4,391.77,0,0,7,4,1,1,91.4,65.0,23.8,32.5,10.0,0.34,1096.4,60.0,19.7,673.2,78.5
2663,2023-07-28,8,13,0.17,391.77,0,0,5,0,2,1,59.0,37.0,57.4,25.0,68.7,0.36,349.0,64.5,18.3,522.41,72.6
2664,2023-01-04,3,10,0.69,391.77,1,0,10,3,1,2,74.1,52.3,59.7,26.6,99.5,0.29,1013.9,59.0,14.1,507.41,76.1
2665,2021-05-10,5,8,0.57,391.77,1,1,7,0,4,0,73.8,50.6,22.9,23.8,98.2,0.12,272.6,22.3,15.2,522.01,85.4
2666,2023-12-31,4,7,0.46,391.77,2,0,7,1,5,3,99.2,45.3,52.8,28.9,21.7,0.21,888.4,50.8,11.3,523.92,49.7
2667,2023-03-26,3,10,0.83,391.77,0,0,6,2,3,1,52.9,77.0,56.9,27.5,17.8,0.47,61.4,62.1,16.6,440.06,45.2
2668,2022-03-23,5,13,0.22,391.77,1,0,7,2,2,0,93.0,34.0,35.7,25.0,85.6,0.18,1849.9,40.1,16.8,589.52,73.7
2669,2023-05-30,5,13,0.49,391.77,0,0,11,3,3,2,96.9,65.2,35.3,27.6,34.9,0.4,1767.1,66.7,12.7,490.4,59.6
2670,2022-03-10,5,16,0.25,391.77,2,0,13,2,0,0,70.4,73.9,61.6,29.5,16.8,0.73,588.2,68.3,11.9,572.29,78.8
2671,2023-10-11,2,7,0.17,391.77,0,0,10,0,3,1,84.4,61.0,71.9,25.1,1.6,0.53,1447.7,27.7,15.4,540.33,77.9
2672,2022-07-04,4,5,0.45,391.77,1,0,11,1,4,1,84.4,37.0,79.6,28.8,7.7,0.36,696.5,58.6,16.3,537.13,90.0
2673,2022-10-24,4,12,0.86,391.77,1,0,9,2,6,2,73.2,75.2,75.1,23.5,77.6,0.28,1600.8,15.0,14.0,548.06,61.2
2674,2022-08-04,7,11,0.68,391.77,0,0,10,0,4,1,95.6,77.1,45.4,30.8,90.6,0.63,1475.3,49.1,18.2,399.28,59.0
2675,2022-11-23,2,12,0.29,391.77,0,0,8,5,2,1,70.3,58.3,75.0,29.6,16.1,0.27,1373.6,38.3,17.5,565.0,71.0
2676,2021-09-25,3,11,0.47,391.77,1,0,5,2,1,2,61.4,57.0,61.6,27.4,179.6,0.59,1955.9,22.0,11.1,498.42,84.6
2677,2023-09-21,4,7,0.74,391.77,0,0,8,2,1,2,99.5,51.4,45.8,22.6,63.0,0.54,1518.9,36.6,10.7,473.38,73.6
2678,2022-12-05,5,6,0.26,391.77,1,0,10,2,1,2,88.6,49.1,40.4,34.1,12.0,0.22,1743.7,53.2,13.3,510.88,74.4
2679,2021-04-10,7,9,0.26,391.77,1,0,9,4,4,3,98.8,30.5,55.4,25.5,8.0,0.19,1060.9,66.1,16.8,451.63,86.1
2680,2021-04-05,5,9,0.24,391.77,1,0,13,0,4,0,88.8,39.0,64.4,28.7,76.4,0.34,1349.5,26.3,17.0,586.63,75.3
2681,2021-07-23,3,10,0.59,391.77,1,0,9,0,5,2,97.5,77.8,69.4,22.0,164.3,0.63,1820.9,39.4,15.0,382.34,58.6
2682,2023-07-31,2,7,0.12,391.77,0,0,7,2,1,1,57.7,50.0,40.9,24.1,38.5,0.74,689.5,57.0,16.8,675.47,45.4
2683,2021-02-03,5,10,0.57,391.77,1,0,4,3,2,1,86.5,51.1,23.0,28.9,2.3,0.37,1266.2,65.0,12.6,485.78,52.4
2684,2021-09-12,7,12,0.76,391.77,1,0,12,4,2,1,58.6,40.3,62.0,22.3,16.8,0.16,522.3,21.9,19.2,440.33,46.8
2685,2021-11-20,5,11,0.73,391.77,2,0,7,1,4,1,86.0,30.5,68.2,26.4,27.4,0.31,169.2,49.4,13.6,583.71,45.8
2686,2023-06-23,5,9,0.63,391.77,2,0,8,1,5,1,75.7,73.5,72.2,21.6,36.0,0.28,1363.0,56.7,14.7,471.21,66.7
2687,2023-07-24,7,9,0.28,391.77,0,0,9,1,7,2,82.2,87.9,23.2,29.0,23.8,0.26,672.2,65.6,10.7,415.97,70.9
2688,2021-01-02,7,14,0.75,391.77,1,0,8,2,1,0,89.7,41.0,62.8,25.4,3.2,0.14,344.5,29.3,19.8,417.16,47.5
2689,2023-05-27,10,6,0.87,391.77,0,0,17,2,2,1,65.6,35.9,34.7,30.1,5.4,0.68,268.3,52.8,17.7,504.03,57.5
2690,2022-02-19,4,9,0.25,391.77,2,0,9,2,5,2,51.2,84.1,52.2,28.5,49.7,0.7,1031.2,50.5,17.6,557.83,85.0
2691,2021-09-28,4,6,0.83,391.77,1,0,1,1,1,1,64.9,84.1,33.1,24.9,46.4,0.47,852.4,25.4,17.1,605.05,88.3
2692,2022-09-11,0,11,0.78,391.77,0,0,6,1,2,0,61.7,45.5,56.6,28.5,80.4,0.72,1327.3,12.2,14.7,521.57,43.3
2693,2021-11-22,3,10,0.88,391.77,0,0,6,2,6,2,79.0,35.0,22.3,22.3,67.7,0.73,116.9,63.1,17.0,555.28,49.8
2694,2022-07-16,3,12,0.36,391.77,1,0,3,3,7,0,60.0,34.8,78.9,20.7,11.1,0.65,704.4,25.8,11.9,443.69,53.5
2695,2021-07-11,2,7,0.85,391.77,1,0,9,2,5,3,80.8,40.2,34.1,23.9,19.6,0.43,1653.3,51.8,16.6,391.91,63.7
2696,2023-01-09,9,5,0.24,391.77,1,0,9,1,4,3,60.2,61.6,79.6,29.6,70.1,0.26,27.1,20.8,11.4,552.25,70.8
2697,2022-05-28,8,7,0.24,391.77,1,0,17,1,6,0,98.4,75.3,66.2,28.9,7.6,0.58,1361.3,32.2,14.3,497.11,46.1
2698,2021-06-18,8,9,0.19,391.77,2,0,11,3,3,1,64.6,44.4,33.7,24.4,67.3,0.27,1470.2,63.9,14.1,389.42,41.4
2699,2023-02-01,4,10,0.44,391.77,1,0,7,3,2,0,82.3,79.1,63.9,27.0,22.1,0.45,1239.5,48.0,15.4,478.91,89.7
2700,2021-12-05,10,4,0.11,391.77,0,0,5,4,2,3,65.4,41.2,45.7,28.1,31.6,0.2,820.2,62.8,18.9,449.99,87.5
2701,2021-04-17,3,6,0.41,391.77,0,0,6,3,5,0,69.6,45.2,71.7,26.1,49.1,0.72,1750.4,29.3,12.7,427.04,49.6
2702,2023-03-23,2,5,0.6,391.77,0,0,6,1,1,1,70.2,87.1,76.7,25.7,19.5,0.19,1890.7,34.9,13.3,351.12,41.4
2703,2022-09-18,2,12,0.16,391.77,1,0,9,0,1,0,93.4,79.3,54.9,30.8,36.4,0.16,1366.4,36.5,10.8,391.73,65.7
2704,2022-04-25,2,12,0.75,391.77,1,0,6,5,2,2,70.6,54.8,70.8,21.2,63.7,0.18,1373.6,61.2,13.5,405.52,57.9
2705,2023-05-30,6,3,0.33,391.77,0,0,8,3,4,0,93.2,80.6,21.1,29.7,73.1,0.32,199.7,32.6,14.1,488.83,67.3
2706,2021-07-06,2,9,0.14,391.77,1,0,11,0,3,3,52.7,55.0,29.0,30.7,9.4,0.29,39.9,30.4,11.4,655.83,68.4
2707,2021-07-14,9,6,0.4,391.77,1,0,8,2,5,0,64.0,39.7,61.6,26.4,3.1,0.21,1329.2,59.9,15.4,656.79,80.7
2708,2021-01-03,8,7,0.21,391.77,0,0,9,0,1,3,71.4,87.7,50.5,32.1,58.0,0.56,1237.7,29.4,16.0,581.75,72.4
2709,2022-03-14,4,10,0.74,391.77,1,0,9,0,3,1,58.7,68.9,41.0,32.0,18.3,0.51,7.3,30.0,14.1,513.68,78.2
2710,2023-09-04,4,13,0.37,391.77,1,0,11,3,2,1,95.0,78.7,56.2,28.9,27.1,0.62,1947.5,65.6,11.0,576.13,84.1
2711,2021-06-09,3,11,0.19,391.77,0,0,7,0,8,2,89.2,49.2,26.2,20.7,62.6,0.3,27.1,65.7,11.2,494.43,79.5
2712,2021-09-29,9,14,0.46,391.77,2,0,5,2,3,0,57.8,68.6,33.9,31.0,75.2,0.67,1615.3,14.2,13.6,486.42,42.5
2713,2022-04-09,10,6,0.46,391.77,3,0,9,3,2,1,53.6,50.8,69.7,26.2,3.6,0.34,1465.5,67.6,12.5,525.18,57.8
2714,2023-11-30,5,15,0.32,391.77,1,0,10,2,4,0,54.9,48.4,30.1,28.6,77.8,0.24,286.1,40.8,18.0,536.41,83.2
2715,2023-07-01,5,14,0.36,391.77,0,1,10,1,3,1,67.0,33.7,77.8,30.3,20.3,0.28,1160.3,66.2,10.2,578.17,65.5
2716,2021-01-20,9,10,0.72,391.77,2,0,7,3,1,0,72.6,34.7,20.2,27.9,29.7,0.53,1491.3,58.3,18.3,614.08,43.2
2717,2021-01-17,2,12,0.61,391.77,0,0,4,3,0,0,85.5,42.0,32.9,30.1,51.2,0.26,1762.7,17.3,18.4,503.12,51.8
2718,2022-12-05,5,9,0.27,391.77,0,0,10,3,4,2,61.2,68.5,67.8,29.9,7.1,0.37,1669.9,27.0,16.0,481.9,42.4
2719,2021-09-04,5,9,0.86,391.77,0,0,10,1,1,0,59.2,46.0,74.1,28.6,41.9,0.38,1036.3,49.7,19.6,473.57,58.6
2720,2023-05-15,8,9,0.34,391.77,4,0,7,1,4,0,54.2,57.5,60.8,25.4,2.8,0.34,1579.3,23.7,10.2,472.81,82.9
2721,2021-09-28,6,6,0.53,391.77,2,0,4,3,3,6,88.5,71.2,78.1,19.9,100.0,0.76,1791.5,58.8,19.3,391.34,84.9
2722,2023-09-06,6,13,0.56,391.77,0,0,6,4,4,2,51.9,88.6,28.2,26.6,130.5,0.29,130.0,29.6,14.0,466.46,79.4
2723,2021-05-26,7,8,0.27,391.77,1,0,10,0,3,0,72.8,40.0,75.2,27.4,170.8,0.36,63.4,59.2,16.3,443.39,43.6
2724,2022-04-14,5,11,0.33,391.77,0,0,7,2,4,0,85.5,49.0,31.7,27.4,1.5,0.14,125.3,23.1,10.3,504.53,57.4
2725,2023-02-24,5,6,0.48,391.77,3,0,10,0,1,1,52.8,78.9,54.6,18.8,45.9,0.16,377.1,48.0,19.7,462.77,85.2
2726,2021-07-02,7,8,0.31,391.77,1,0,7,2,4,2,95.1,56.6,47.1,26.9,246.0,0.44,884.1,48.0,15.3,404.32,84.9
2727,2021-07-29,4,14,0.34,391.77,3,0,8,1,1,1,59.9,40.3,76.7,33.3,54.1,0.62,476.6,58.6,15.0,555.53,89.3
2728,2021-07-31,4,13,0.59,391.77,0,0,10,3,2,0,61.3,40.7,51.4,28.3,35.8,0.49,1323.3,10.1,15.2,555.83,89.1
2729,2022-10-04,6,15,0.69,391.77,1,0,7,2,2,0,93.4,57.7,32.7,26.3,8.5,0.42,1529.8,26.8,16.3,464.23,48.2
2730,2023-01-23,6,13,0.74,391.77,1,0,9,5,3,0,68.9,51.0,74.4,24.2,169.0,0.46,309.3,49.1,15.7,421.22,86.9
2731,2022-09-05,4,8,0.2,391.77,1,0,9,2,3,0,86.7,58.8,42.8,28.9,127.8,0.18,552.7,56.7,13.7,528.33,69.8
2732,2021-10-08,3,12,0.69,391.77,0,0,5,2,1,0,85.6,49.2,42.8,32.4,44.5,0.34,1412.3,17.1,10.3,522.95,57.6
2733,2023-02-23,3,8,0.85,391.77,0,0,13,0,4,0,63.4,54.6,39.7,31.0,111.6,0.74,262.3,28.3,17.4,466.13,85.8
2734,2021-09-30,10,9,0.56,391.77,1,0,5,2,3,1,84.9,40.3,53.8,18.8,45.2,0.42,937.5,30.2,11.8,641.72,80.1
2735,2021-10-20,6,10,0.58,391.77,1,0,3,1,4,0,84.4,48.4,26.4,21.9,28.8,0.16,1174.7,26.1,16.2,624.06,62.6
2736,2021-05-21,6,7,0.86,391.77,2,0,7,1,2,1,69.2,34.3,64.7,26.4,1.4,0.58,0.8,12.5,15.1,361.69,45.0
2737,2023-12-23,4,10,0.8,391.77,3,0,7,1,4,2,74.3,71.3,35.8,30.5,41.8,0.51,667.8,60.2,17.6,547.91,89.7
2738,2021-01-18,1,14,0.55,391.77,1,0,12,4,0,1,63.6,68.9,56.9,29.0,6.5,0.39,1578.8,68.1,10.4,469.11,76.5
2739,2021-12-03,5,10,0.71,391.77,0,0,12,0,6,1,50.7,87.0,24.3,26.3,32.4,0.57,1985.0,19.8,18.1,468.72,84.2
2740,2023-06-21,7,7,0.24,391.77,2,0,10,2,1,2,93.2,77.1,21.1,27.2,122.0,0.46,714.1,46.3,19.7,408.83,48.2
2741,2022-12-21,4,10,0.43,391.77,1,0,6,4,2,1,92.2,58.2,30.6,33.6,36.4,0.11,183.5,20.4,15.9,476.73,79.0
2742,2022-03-13,3,10,0.67,391.77,0,0,8,2,3,1,52.2,80.1,41.9,25.5,28.0,0.29,784.6,52.0,10.2,508.62,60.2
2743,2021-11-07,5,3,0.33,391.77,1,0,13,0,3,0,69.4,55.3,57.3,25.5,5.1,0.79,820.9,53.5,16.5,395.96,61.9
